__v,_id,Body.,createdAt,question,updatedAt
0,60675a0fd9c559001ce9b6d0,Popcorn with caramel and cheddar,2021-04-02T17:53:19.052Z,60667d1480a467001c362a95,2021-04-02T17:53:19.052Z
0,60675c2cd9c559001ce9b6d1,5 Subeke wafers,2021-04-02T18:02:20.675Z,60667d1480a467001c362a95,2021-04-02T18:02:20.675Z
0,60675c7bd9c559001ce9b6d2,1 glass of water,2021-04-02T18:03:39.643Z,60667d1480a467001c362a95,2021-04-02T18:03:39.643Z
0,6067739ed9c559001ce9b6d3,3 grapes,2021-04-02T19:42:22.647Z,60667d1480a467001c362a95,2021-04-02T19:42:22.647Z
0,60677758d9c559001ce9b6d4,well,2021-04-02T19:58:16.820Z,60667c4c80a467001c362a86,2021-04-02T19:58:16.820Z
0,6067775dd9c559001ce9b6d5,1,2021-04-02T19:58:21.939Z,60667c5980a467001c362a87,2021-04-02T19:58:21.939Z
0,60677764d9c559001ce9b6d6,94.3.,2021-04-02T19:58:28.464Z,60667c6380a467001c362a88,2021-04-02T19:58:28.464Z
0,6067776ad9c559001ce9b6d7,Sã 1 Quesadilla.,2021-04-02T19:58:34.370Z,606759aed9c559001ce9b6cf,2021-04-02T19:58:34.370Z
0,6067d808d9c559001ce9b6d8,Cennel cheese balls,2021-04-03T02:50:48.163Z,60667cd680a467001c362a90,2021-04-03T02:50:48.163Z
0,6067d80fd9c559001ce9b6d9,Sã 3 beers,2021-04-03T02:50:55.111Z,60667ce880a467001c362a91,2021-04-03T02:50:55.111Z
0,6067d813d9c559001ce9b6da,any,2021-04-03T02:50:59.617Z,60667cf380a467001c362a92,2021-04-03T02:50:59.617Z
0,6067d818d9c559001ce9b6db,any,2021-04-03T02:51:04.259Z,60667cfc80a467001c362a93,2021-04-03T02:51:04.259Z
0,6067d81dd9c559001ce9b6dc,good 1 little tired,2021-04-03T02:51:09.913Z,60667d0480a467001c362a94,2021-04-03T02:51:09.913Z
